distance,aoa
111.16,7.0
106.94,0.7
111.63,6.01
112.1,5.83
112.57,4.52
112.1,-0.35
113.51,8.27
113.04,1.64
112.57,2.89
111.16,1.4
114.44,1.75
112.1,2.98
106.94,2.16
111.63,2.71
111.16,4.25
112.57,-0.26
111.16,4.74
110.69,3.48
106.94,-3.24
111.63,6.95
113.98,4.34
111.63,3.5
109.75,3.5
103.66,3.07
117.73,4.01
113.04,1.72
109.75,4.21
113.04,4.87
114.91,-7.94
111.16,9.32
103.66,1.01
112.57,-4.38
105.53,-2.34
109.29,-6.78
107.41,-13.29
115.85,-3.31
111.16,0.18
110.69,-3.04
112.57,-2.8
108.35,-2.8
113.04,-6.82
106.0,-2.93
121.01,-4.01
109.75,2.89
110.69,-5.24
113.98,-4.8
106.0,-0.64
109.29,-5.57
108.35,-2.63
112.57,-2.63
111.63,-6.69
114.44,-2.96
116.32,-5.66
113.04,-9.58
125.7,-2.78
105.53,-0.97
110.22,-5.04
108.35,-6.51
108.35,-0.7
107.88,-4.27
108.35,-8.1
111.63,-7.57
106.47,-5.42
113.04,-5.7
112.57,-5.57
114.44,2.78
114.91,-9.56
115.38,-6.69
112.57,-0.88
118.67,-9.32
110.22,-5.83
114.91,5.15
114.44,-4.03
106.47,-3.33
113.98,-4.63
116.32,-1.37
118.67,-5.48
114.91,-4.78
113.51,-5.57
114.44,-6.67
112.1,-4.69
109.75,-5.92
116.79,-6.01
114.44,-4.8
113.51,-5.31
115.85,-6.8
115.38,-8.1
115.85,-7.04
111.63,-7.04
108.82,-9.36
110.69,-11.91
113.98,-8.94
111.63,-9.14
111.16,-3.07
113.98,-5.92
112.57,-7.31
113.98,-7.31
114.44,-5.48
116.32,-6.51
114.91,-5.33
117.73,-9.76
113.04,-9.76
114.44,-9.76
114.44,-9.47
117.26,-13.6
113.98,-8.99
114.44,-8.1
118.2,-9.47
113.04,-9.69
111.63,-9.69
110.69,-9.38
113.98,-16.61
115.85,-14.3
114.91,-9.71
110.69,-9.71
116.79,-16.52
109.75,-16.52
116.79,-14.94
108.35,-14.28
112.1,-14.28
109.75,-16.44
112.57,-12.17
113.04,-12.52
109.29,-17.38
113.98,-14.35
115.38,-14.17
113.98,-11.95
128.52,-10.42
114.91,-15.45
111.63,-16.7
106.94,-16.7
109.29,-16.7
115.38,-16.52
116.32,-16.52
115.38,-16.52
113.51,-16.96
113.98,-17.47
109.75,-17.47
115.85,-12.94
109.29,-12.94
114.44,-16.59
109.75,-17.8
117.73,-17.8
118.67,-17.8
110.22,-18.11
113.98,-15.36
118.67,-15.36
116.79,-14.57
112.1,-14.57
112.1,-14.57
113.98,-14.57
109.75,-14.57
111.16,-18.89
111.63,-16.96
115.85,-16.96
105.06,-14.77
112.57,-14.66
114.91,-14.66
114.44,-17.82
113.98,-17.82
114.91,-18.53
114.91,-18.53
124.29,-18.95
115.85,-13.62
113.98,-17.56
110.22,-16.61
