distance,aoa
138.37,-45.04
136.49,-46.05
133.68,-45.97
136.49,-45.97
140.24,-45.97
135.55,-46.43
138.37,-46.43
130.86,-47.15
136.96,-47.15
138.83,-46.8
131.8,-46.8
134.61,-48.77
136.02,-45.62
135.55,-43.32
141.65,-47.6
136.02,-47.6
136.96,-41.5
130.39,-41.5
130.86,-41.5
134.61,-41.5
134.14,-41.5
136.96,-45.13
136.02,-45.13
127.58,-45.13
131.8,-45.13
136.02,-46.45
137.9,-46.45
136.96,-46.69
132.74,-46.69
139.3,-46.69
134.14,-46.69
135.55,-46.69
145.4,-48.99
139.77,-45.57
134.14,-45.57
132.27,-45.57
135.08,-45.57
127.11,-45.13
134.61,-45.13
137.43,-45.13
137.9,-45.13
135.55,-45.13
139.77,-45.13
136.02,-45.13
131.33,-45.13
140.24,-45.13
132.74,-54.31
137.9,-54.31
135.08,-54.31
134.14,-54.31
134.61,-53.26
137.43,-39.67
141.65,-47.48
132.74,-47.33
140.71,-47.33
137.43,-46.96
134.61,-46.96
138.37,-46.96
139.3,-46.96
137.43,-52.58
138.37,-52.58
135.55,-44.3
136.49,-41.17
135.55,-37.16
137.43,-38.23
139.3,-36.11
136.02,-36.2
130.86,-38.39
140.71,-42.46
137.9,-40.22
141.18,-43.55
137.9,-35.32
126.64,-37.88
128.98,-36.11
138.37,-31.16
140.71,-33.19
130.86,-33.7
130.86,-31.6
137.9,-21.07
139.3,-17.05
136.02,-12.13
130.39,-8.72
125.23,-2.36
126.17,-2.36
131.33,10.28
127.58,1.83
120.07,5.31
130.86,16.17
125.7,3.9
125.7,3.9
132.27,5.83
120.07,5.83
122.42,5.83
120.54,5.83
117.26,5.83
118.2,5.83
118.2,5.83
115.38,-14.11
115.85,-14.11
119.6,-14.11
109.29,-14.5
115.85,-16.96
118.67,-16.96
115.38,-7.55
113.04,-7.55
118.2,-7.55
116.32,-7.55
109.29,-16.87
118.2,-15.16
114.91,-15.16
115.85,-15.16
113.04,-15.16
118.67,-15.16
110.22,-15.16
111.16,-15.16
123.83,-7.48
108.82,-14.99
120.07,-14.99
122.89,-14.99
124.29,-7.13
126.17,-6.6
124.76,-6.6
125.7,-44.87
112.1,-44.87
121.95,-44.87
125.23,-44.87
119.6,-8.92
121.48,-8.92
128.52,-9.91
119.14,-11.65
127.58,-8.36
123.83,-1.75
124.76,-5.75
128.98,-5.75
124.76,-5.75
125.23,-5.75
122.42,-5.75
114.91,-5.75
118.67,-2.87
119.6,-14.63
119.6,-7.22
122.42,-7.22
116.79,-7.22
121.48,-8.43
122.42,-7.55
121.48,-8.43
115.38,-4.34
128.52,-0.44
125.7,-1.66
126.17,-1.72
119.14,-1.72
122.89,-7.44
124.76,-4.8
121.95,-2.08
126.17,-6.43
126.64,-2.8
119.6,-2.69
114.91,2.34
117.26,-2.16
125.7,0.79
113.51,0.79
116.32,0.79
120.07,0.79
123.83,-8.18
121.95,4.87
131.33,-0.9
121.01,-0.9
121.01,-0.9
119.6,7.92
126.64,1.05
127.58,3.86
126.64,10.55
117.73,4.78
125.23,4.91
128.98,-0.18
128.98,2.69
125.7,2.69
126.64,5.5
126.17,4.12
128.98,-0.09
124.29,1.57
128.05,3.5
123.36,3.5
121.48,5.48
125.7,0.0
122.89,-2.16
123.83,7.61
117.73,7.61
128.52,7.61
116.32,2.69
128.98,-5.26
124.29,-9.03
126.17,-3.15
125.7,-1.05
126.17,5.83
121.95,-3.94
121.95,2.71
121.01,2.71
119.6,-3.13
126.64,0.88
125.7,4.52
126.64,3.48
128.52,1.9
125.7,-1.75
128.05,-1.66
131.33,-5.88
121.01,1.4
130.86,1.4
128.98,-4.82
122.42,-1.68
123.36,2.63
128.98,-1.92
124.29,-2.36
126.17,-2.36
122.42,-2.36
121.01,-2.87
128.52,4.78
122.42,-7.24
125.7,-2.36
124.29,-7.59
124.76,4.8
127.11,5.61
126.64,-0.79
121.01,-0.79
119.14,-3.92
127.11,1.81
121.48,0.7
125.23,0.97
126.64,-5.33
128.98,-4.69
122.42,-4.69
121.95,-4.69
124.29,-4.69
126.17,-4.74
121.95,-3.04
